imp_type,pp_coef,random_state,data_split,dataset
f_test,0.9218952321690836,2,7,wine
pimp,1.0,2,7,wine
shap,0.8895378086145513,2,7,wine
pearson,0.6901166372277249,2,7,wine
spearman,0.6901166372277249,2,7,wine
kendall,0.6901166372277249,2,7,wine
pps,0.5954754737122601,2,7,wine
gini,1.0,3,7,wine
mutual_info,1.0,3,7,wine
f_test,0.9218952321690836,3,7,wine
pimp,0.9137380191693291,3,7,wine
shap,0.9137380191693291,3,7,wine
pearson,0.6640917270709602,3,7,wine
spearman,0.6640917270709602,3,7,wine
kendall,0.6640917270709602,3,7,wine
pps,0.5658286885937819,3,7,wine
gini,1.0,4,7,wine
mutual_info,1.0,4,7,wine
f_test,0.9469273446541999,4,7,wine
pimp,0.9135573099358448,4,7,wine
shap,0.9135573099358448,4,7,wine
pearson,0.6587244478993626,4,7,wine
spearman,0.6587244478993626,4,7,wine
kendall,0.6587244478993626,4,7,wine
pps,0.5954262149104322,4,7,wine
gini,1.0,5,7,wine
mutual_info,1.0,5,7,wine
f_test,0.9218952321690836,5,7,wine
pimp,0.8849840255591054,5,7,wine
shap,1.0,5,7,wine
pearson,0.6895677768517497,5,7,wine
spearman,0.6895677768517497,5,7,wine
kendall,0.6895677768517497,5,7,wine
pps,0.5653334268237958,5,7,wine
gini,1.0001333550070644,6,7,wine
mutual_info,1.0001333550070644,6,7,wine
f_test,0.8917096157032591,6,7,wine
pimp,0.9420846482599182,6,7,wine
shap,0.9420846482599182,6,7,wine
pearson,0.7479935794542536,6,7,wine
spearman,0.7479935794542536,6,7,wine
kendall,0.7479935794542536,6,7,wine
pps,0.6246146611337616,6,7,wine
gini,1.0,7,7,wine
mutual_info,1.0,7,7,wine
f_test,0.9155153343686057,7,7,wine
pimp,0.9129038897645663,7,7,wine
shap,0.9718302185937511,7,7,wine
pearson,0.6901166372277249,7,7,wine
spearman,0.6901166372277249,7,7,wine
kendall,0.6901166372277249,7,7,wine
pps,0.6237119313362879,7,7,wine
gini,1.0,8,7,wine
mutual_info,1.0,8,7,wine
f_test,0.9218952321690836,8,7,wine
pimp,1.0,8,7,wine
shap,1.0,8,7,wine
pearson,0.6965363268763547,8,7,wine
spearman,0.6965363268763547,8,7,wine
kendall,0.6965363268763547,8,7,wine
pps,0.5365822949934651,8,7,wine
gini,1.029702151448404,9,7,wine
mutual_info,1.029702151448404,9,7,wine
f_test,0.9492775039745311,9,7,wine
pimp,0.9124436648436474,9,7,wine
shap,1.029702151448404,9,7,wine
pearson,0.7432790001348413,9,7,wine
spearman,0.7432790001348413,9,7,wine
kendall,0.7432790001348413,9,7,wine
pps,0.5522149342744903,9,7,wine
gini,0.9728000000000001,0,8,wine
mutual_info,0.9728000000000001,0,8,wine
f_test,0.9129465492947323,0,8,wine
pimp,0.8848,0,8,wine
shap,0.8848,0,8,wine
