imp_type,random_state,data_split,dataset,max_dropped
pimp,5,6,boston,0.3846153846153846
shap,5,6,boston,0.3846153846153846
pearson,5,6,boston,0.5384615384615384
spearman,5,6,boston,0.3076923076923077
kendall,5,6,boston,0.15384615384615385
pps,5,6,boston,0.0
gini,6,6,boston,0.0
mutual_info,6,6,boston,0.0
f_test,6,6,boston,0.0
pimp,6,6,boston,0.0
shap,6,6,boston,0.0
pearson,6,6,boston,0.0
spearman,6,6,boston,0.0
kendall,6,6,boston,0.0
pps,6,6,boston,0.0
gini,7,6,boston,0.3846153846153846
mutual_info,7,6,boston,0.3076923076923077
f_test,7,6,boston,0.07692307692307687
pimp,7,6,boston,0.3846153846153846
shap,7,6,boston,0.3846153846153846
pearson,7,6,boston,0.07692307692307687
spearman,7,6,boston,0.3076923076923077
kendall,7,6,boston,0.23076923076923073
pps,7,6,boston,0.07692307692307687
gini,8,6,boston,0.0
mutual_info,8,6,boston,0.0
f_test,8,6,boston,0.0
pimp,8,6,boston,0.0
shap,8,6,boston,0.0
pearson,8,6,boston,0.0
spearman,8,6,boston,0.0
kendall,8,6,boston,0.0
pps,8,6,boston,0.07692307692307687
gini,9,6,boston,0.3846153846153846
mutual_info,9,6,boston,0.3076923076923077
f_test,9,6,boston,0.07692307692307687
pimp,9,6,boston,0.3846153846153846
shap,9,6,boston,0.3846153846153846
pearson,9,6,boston,0.07692307692307687
spearman,9,6,boston,0.3076923076923077
kendall,9,6,boston,0.23076923076923073
pps,9,6,boston,0.07692307692307687
gini,0,7,boston,0.3846153846153846
mutual_info,0,7,boston,0.3846153846153846
f_test,0,7,boston,0.07692307692307687
pimp,0,7,boston,0.46153846153846156
shap,0,7,boston,0.15384615384615385
pearson,0,7,boston,0.07692307692307687
spearman,0,7,boston,0.3076923076923077
kendall,0,7,boston,0.23076923076923073
pps,0,7,boston,0.0
gini,1,7,boston,0.46153846153846156
mutual_info,1,7,boston,0.3076923076923077
f_test,1,7,boston,0.0
pimp,1,7,boston,0.46153846153846156
shap,1,7,boston,0.46153846153846156
pearson,1,7,boston,0.0
spearman,1,7,boston,0.3076923076923077
kendall,1,7,boston,0.23076923076923073
pps,1,7,boston,0.0
gini,2,7,boston,0.3846153846153846
mutual_info,2,7,boston,0.3846153846153846
f_test,2,7,boston,0.07692307692307687
pimp,2,7,boston,0.46153846153846156
shap,2,7,boston,0.3846153846153846
pearson,2,7,boston,0.07692307692307687
spearman,2,7,boston,0.3076923076923077
kendall,2,7,boston,0.15384615384615385
pps,2,7,boston,0.0
gini,3,7,boston,0.0
mutual_info,3,7,boston,0.23076923076923073
f_test,3,7,boston,0.0
pimp,3,7,boston,0.07692307692307687
shap,3,7,boston,0.0
pearson,3,7,boston,0.0
spearman,3,7,boston,0.15384615384615385
kendall,3,7,boston,0.15384615384615385
pps,3,7,boston,0.0
gini,4,7,boston,0.3076923076923077
mutual_info,4,7,boston,0.3846153846153846
f_test,4,7,boston,0.07692307692307687
pimp,4,7,boston,0.3076923076923077
shap,4,7,boston,0.46153846153846156
pearson,4,7,boston,0.07692307692307687
spearman,4,7,boston,0.3076923076923077
kendall,4,7,boston,0.15384615384615385
pps,4,7,boston,0.0
gini,5,7,boston,0.23076923076923073
mutual_info,5,7,boston,0.3076923076923077
f_test,5,7,boston,0.07692307692307687
pimp,5,7,boston,0.23076923076923073
shap,5,7,boston,0.23076923076923073
pearson,5,7,boston,0.07692307692307687
spearman,5,7,boston,0.3076923076923077
kendall,5,7,boston,0.23076923076923073
pps,5,7,boston,0.0
gini,6,7,boston,0.3846153846153846
mutual_info,6,7,boston,0.23076923076923073
f_test,6,7,boston,0.07692307692307687
pimp,6,7,boston,0.3846153846153846
shap,6,7,boston,0.3846153846153846
pearson,6,7,boston,0.07692307692307687
spearman,6,7,boston,0.23076923076923073
kendall,6,7,boston,0.23076923076923073
pps,6,7,boston,0.0
gini,7,7,boston,0.5384615384615384
mutual_info,7,7,boston,0.3846153846153846
f_test,7,7,boston,0.0
pimp,7,7,boston,0.46153846153846156
shap,7,7,boston,0.46153846153846156
pearson,7,7,boston,0.0
spearman,7,7,boston,0.3076923076923077
kendall,7,7,boston,0.15384615384615385
pps,7,7,boston,0.0
gini,8,7,boston,0.0
mutual_info,8,7,boston,0.3846153846153846
f_test,8,7,boston,0.0
pimp,8,7,boston,0.23076923076923073
shap,8,7,boston,0.0
pearson,8,7,boston,0.0
spearman,8,7,boston,0.0
kendall,8,7,boston,0.0
pps,8,7,boston,0.0
gini,9,7,boston,0.3846153846153846
mutual_info,9,7,boston,0.23076923076923073
f_test,9,7,boston,0.0
pimp,9,7,boston,0.46153846153846156
shap,9,7,boston,0.5384615384615384
pearson,9,7,boston,0.0
spearman,9,7,boston,0.23076923076923073
kendall,9,7,boston,0.23076923076923073
pps,9,7,boston,0.0
gini,0,8,boston,0.0
mutual_info,0,8,boston,0.0
f_test,0,8,boston,0.0
pimp,0,8,boston,0.5384615384615384
shap,0,8,boston,0.0
pearson,0,8,boston,0.0
spearman,0,8,boston,0.0
kendall,0,8,boston,0.0
pps,0,8,boston,0.0
gini,1,8,boston,0.23076923076923073
mutual_info,1,8,boston,0.23076923076923073
f_test,1,8,boston,0.07692307692307687
pimp,1,8,boston,0.23076923076923073
shap,1,8,boston,0.23076923076923073
pearson,1,8,boston,0.07692307692307687
spearman,1,8,boston,0.07692307692307687
kendall,1,8,boston,0.07692307692307687
pps,1,8,boston,0.0
gini,2,8,boston,0.23076923076923073
mutual_info,2,8,boston,0.23076923076923073
f_test,2,8,boston,0.07692307692307687
pimp,2,8,boston,0.23076923076923073
shap,2,8,boston,0.23076923076923073
pearson,2,8,boston,0.07692307692307687
spearman,2,8,boston,0.07692307692307687
kendall,2,8,boston,0.07692307692307687
pps,2,8,boston,0.0
gini,3,8,boston,0.46153846153846156
mutual_info,3,8,boston,0.3076923076923077
f_test,3,8,boston,0.0
pimp,3,8,boston,0.46153846153846156
shap,3,8,boston,0.46153846153846156
