imp_type,random_state,data_split,dataset,max_dropped
spearman,8,5,wine,0.3076923076923077
kendall,8,5,wine,0.3076923076923077
pps,8,5,wine,0.07692307692307687
gini,9,5,wine,0.5384615384615384
mutual_info,9,5,wine,0.5384615384615384
f_test,9,5,wine,0.5384615384615384
pimp,9,5,wine,0.5384615384615384
shap,9,5,wine,0.5384615384615384
pearson,9,5,wine,0.46153846153846156
spearman,9,5,wine,0.46153846153846156
kendall,9,5,wine,0.46153846153846156
pps,9,5,wine,0.07692307692307687
gini,0,6,wine,0.6153846153846154
mutual_info,0,6,wine,0.6153846153846154
f_test,0,6,wine,0.6153846153846154
pimp,0,6,wine,0.6923076923076923
shap,0,6,wine,0.6153846153846154
pearson,0,6,wine,0.15384615384615385
spearman,0,6,wine,0.15384615384615385
kendall,0,6,wine,0.15384615384615385
pps,0,6,wine,0.07692307692307687
gini,1,6,wine,0.6153846153846154
mutual_info,1,6,wine,0.6153846153846154
f_test,1,6,wine,0.6153846153846154
pimp,1,6,wine,0.6153846153846154
shap,1,6,wine,0.6153846153846154
pearson,1,6,wine,0.23076923076923073
spearman,1,6,wine,0.23076923076923073
kendall,1,6,wine,0.23076923076923073
pps,1,6,wine,0.07692307692307687
gini,2,6,wine,0.6923076923076923
mutual_info,2,6,wine,0.6923076923076923
f_test,2,6,wine,0.6153846153846154
pimp,2,6,wine,0.6153846153846154
shap,2,6,wine,0.6923076923076923
pearson,2,6,wine,0.23076923076923073
spearman,2,6,wine,0.23076923076923073
kendall,2,6,wine,0.23076923076923073
pps,2,6,wine,0.07692307692307687
gini,3,6,wine,0.6153846153846154
mutual_info,3,6,wine,0.6153846153846154
f_test,3,6,wine,0.6153846153846154
pimp,3,6,wine,0.6153846153846154
shap,3,6,wine,0.6923076923076923
pearson,3,6,wine,0.23076923076923073
spearman,3,6,wine,0.23076923076923073
kendall,3,6,wine,0.23076923076923073
pps,3,6,wine,0.07692307692307687
gini,4,6,wine,0.6153846153846154
mutual_info,4,6,wine,0.6153846153846154
f_test,4,6,wine,0.6153846153846154
pimp,4,6,wine,0.6923076923076923
shap,4,6,wine,0.6923076923076923
pearson,4,6,wine,0.23076923076923073
spearman,4,6,wine,0.23076923076923073
kendall,4,6,wine,0.23076923076923073
pps,4,6,wine,0.07692307692307687
gini,5,6,wine,0.6923076923076923
mutual_info,5,6,wine,0.6923076923076923
f_test,5,6,wine,0.6153846153846154
pimp,5,6,wine,0.6153846153846154
shap,5,6,wine,0.6923076923076923
pearson,5,6,wine,0.23076923076923073
spearman,5,6,wine,0.23076923076923073
kendall,5,6,wine,0.23076923076923073
pps,5,6,wine,0.07692307692307687
gini,6,6,wine,0.6153846153846154
mutual_info,6,6,wine,0.6923076923076923
f_test,6,6,wine,0.6153846153846154
pimp,6,6,wine,0.6153846153846154
shap,6,6,wine,0.6923076923076923
pearson,6,6,wine,0.23076923076923073
spearman,6,6,wine,0.23076923076923073
kendall,6,6,wine,0.23076923076923073
pps,6,6,wine,0.07692307692307687
gini,7,6,wine,0.6153846153846154
mutual_info,7,6,wine,0.46153846153846156
f_test,7,6,wine,0.6153846153846154
pimp,7,6,wine,0.6153846153846154
shap,7,6,wine,0.6923076923076923
pearson,7,6,wine,0.23076923076923073
spearman,7,6,wine,0.23076923076923073
kendall,7,6,wine,0.23076923076923073
pps,7,6,wine,0.07692307692307687
gini,8,6,wine,0.6153846153846154
mutual_info,8,6,wine,0.6153846153846154
f_test,8,6,wine,0.6153846153846154
pimp,8,6,wine,0.6923076923076923
shap,8,6,wine,0.6923076923076923
pearson,8,6,wine,0.15384615384615385
spearman,8,6,wine,0.15384615384615385
kendall,8,6,wine,0.15384615384615385
pps,8,6,wine,0.3076923076923077
gini,9,6,wine,0.6153846153846154
mutual_info,9,6,wine,0.6923076923076923
f_test,9,6,wine,0.6153846153846154
pimp,9,6,wine,0.6153846153846154
shap,9,6,wine,0.6923076923076923
