dataset,imp_type,random_state,data_split,fi_order,fi_selected,timings
regr_features_10_samples_1000_seed_0,spearman,0,3,"[1, 0, 5, 3, 6, 9, 7, 2, 4, 8]","[1, 0]","[0.00310165 0.0028525  0.00245938 0.00243881 0.00261915 0.0024658
 0.00245728 0.00268657 0.00258642 0.00249071]"
regr_features_10_samples_1000_seed_0,kendall,0,3,"[1, 0, 5, 3, 6, 9, 7, 2, 4, 8]","[1, 0]","[0.01998114 0.02000376 0.02001082 0.02000642 0.02569861 0.02049326
 0.02029394 0.02001472 0.01987135 0.02006866]"
regr_features_10_samples_1000_seed_0,pps,0,3,"[8, 5, 2, 3, 6, 9, 7, 4, 0, 1]","[8, 5]","[0.11497464 0.11191932 0.1069301  0.10685278 0.11355383 0.1058756
 0.10773946 0.10635626 0.10639194 0.1106094 ]"
regr_features_10_samples_1000_seed_0,mutual_info,0,4,"[1, 6, 3, 2, 9, 0, 5, 7, 4, 8]","[1, 6]","[0.03637137 0.03424774 0.03208086 0.0309167  0.03049624 0.03071419
 0.03038842 0.0335967  0.03332118 0.03032332]"
regr_features_10_samples_1000_seed_0,f_test,0,4,"[1, 0, 5, 4, 9, 6, 2, 8, 7, 3]","[1, 0]","[0.00176905 0.00161019 0.00144604 0.0014537  0.00149046 0.00139505
 0.00140452 0.00155255 0.00131999 0.00140682]"
regr_features_10_samples_1000_seed_0,pearson,0,4,"[1, 0, 5, 4, 9, 6, 2, 8, 7, 3]","[1, 0]","[0.00209325 0.00170478 0.00168644 0.00171717 0.00158584 0.00153827
 0.0016851  0.00173862 0.00185476 0.00181036]"
regr_features_10_samples_1000_seed_0,spearman,0,4,"[1, 0, 5, 4, 2, 9, 8, 3, 6, 7]","[1, 0]","[0.00269686 0.00244863 0.00267529 0.00259683 0.00243249 0.00271603
 0.00291975 0.00270502 0.00266163 0.002619  ]"
regr_features_10_samples_1000_seed_0,kendall,0,4,"[1, 0, 5, 4, 2, 9, 8, 3, 6, 7]","[1, 0]","[0.02001312 0.01963038 0.01991672 0.01966482 0.02068318 0.02071844
 0.02032788 0.02001582 0.01956102 0.0195128 ]"
regr_features_10_samples_1000_seed_0,pps,0,4,"[3, 2, 8, 7, 4, 5, 9, 6, 0, 1]","[3, 2]","[0.1119517  0.11421331 0.10666373 0.10513129 0.10504972 0.10809645
 0.10651756 0.10637063 0.1062597  0.10744806]"
regr_features_10_samples_1000_seed_0,mutual_info,0,5,"[1, 6, 9, 2, 3, 4, 0, 5, 7, 8]","[1, 6]","[0.03990032 0.03342176 0.03092784 0.03089902 0.03116629 0.03068267
 0.03074895 0.03084083 0.03073449 0.03026816]"
regr_features_10_samples_1000_seed_0,f_test,0,5,"[1, 0, 5, 4, 8, 9, 3, 2, 7, 6]","[1, 0]","[0.0032202  0.00150244 0.00140351 0.00143064 0.00134623 0.0014563
 0.00149244 0.00146216 0.00144367 0.00146444]"
regr_features_10_samples_1000_seed_0,pearson,0,5,"[1, 0, 5, 4, 8, 9, 3, 2, 7, 6]","[1, 0]","[0.00225302 0.00182676 0.00185429 0.0017102  0.00159853 0.00157843
 0.00174074 0.0018992  0.00205481 0.00158045]"
regr_features_10_samples_1000_seed_0,spearman,0,5,"[1, 0, 5, 2, 4, 8, 9, 7, 3, 6]","[1, 0]","[0.00264372 0.0024417  0.00264611 0.00270275 0.00251829 0.00264765
 0.00258723 0.0024467  0.00248532 0.0026784 ]"
regr_features_10_samples_1000_seed_0,kendall,0,5,"[1, 0, 5, 2, 4, 8, 9, 3, 7, 6]","[1, 0]","[0.02015219 0.01989104 0.01986297 0.01990004 0.02113272 0.02044867
 0.02016552 0.02013379 0.01997234 0.02010454]"
