dataset,imp_type,random_state,data_split,fi_order,fi_selected,timings
classif_features_10_samples_1000_seed_0,mutual_info,0,3,"[1, 8, 7, 3, 9, 4, 0, 2, 5, 6]","[1, 8]","[0.03639806 0.03394057 0.03361231 0.03229122 0.02905606 0.02831234
 0.02837267 0.02841361 0.02806285 0.02838314]"
classif_features_10_samples_1000_seed_0,f_test,0,3,"[1, 5, 3, 8, 0, 6, 7, 2, 9, 4]","[1, 5]","[0.00176856 0.00166308 0.0015953  0.00150318 0.00143859 0.00143263
 0.00140803 0.00143303 0.00139577 0.00138887]"
classif_features_10_samples_1000_seed_0,pearson,0,3,"[1, 5, 3, 8, 0, 6, 7, 2, 9, 4]","[1, 5]","[0.00237945 0.00177481 0.00162381 0.00157636 0.00153995 0.00150835
 0.00152682 0.00143279 0.00144267 0.00159837]"
classif_features_10_samples_1000_seed_0,spearman,0,3,"[1, 3, 5, 8, 0, 6, 7, 4, 2, 9]","[1, 3]","[0.00318181 0.0027676  0.00280132 0.00280417 0.00241544 0.00253385
 0.00289912 0.00248146 0.00239546 0.00251289]"
classif_features_10_samples_1000_seed_0,kendall,0,3,"[1, 3, 5, 8, 0, 6, 7, 4, 2, 9]","[1, 3]","[0.01954207 0.01927665 0.01960215 0.01945832 0.02057397 0.01998816
 0.02063435 0.01953831 0.01941879 0.01972867]"
classif_features_10_samples_1000_seed_0,pps,0,3,"[5, 6, 4, 3, 7, 8, 2, 0, 9, 1]","[5, 6]","[0.12421502 0.11909856 0.10800895 0.10924246 0.11029833 0.11654075
 0.12004971 0.1087578  0.10983114 0.11311014]"
classif_features_10_samples_1000_seed_0,mutual_info,0,4,"[1, 5, 7, 2, 6, 0, 3, 4, 8, 9]","[1, 5]","[0.03613607 0.03454308 0.03280952 0.03038442 0.02972464 0.0281625
 0.02933177 0.03167213 0.02835996 0.02786554]"
classif_features_10_samples_1000_seed_0,f_test,0,4,"[1, 8, 5, 3, 7, 2, 6, 0, 4, 9]","[1, 8]","[0.00194329 0.00167713 0.00145476 0.00137239 0.00141781 0.0013856
 0.00147729 0.00141304 0.00141253 0.00133612]"
classif_features_10_samples_1000_seed_0,pearson,0,4,"[1, 8, 5, 3, 7, 2, 6, 0, 4, 9]","[1, 8]","[0.00191163 0.00190407 0.00202341 0.00165739 0.00165049 0.00157155
 0.00157544 0.00161199 0.00150281 0.00149253]"
classif_features_10_samples_1000_seed_0,spearman,0,4,"[1, 8, 5, 3, 7, 0, 6, 4, 2, 9]","[1, 8]","[0.00286499 0.0028455  0.00275842 0.00280114 0.00256424 0.00260994
 0.00244882 0.00258667 0.00311405 0.00274726]"
classif_features_10_samples_1000_seed_0,kendall,0,4,"[1, 8, 5, 3, 7, 0, 6, 4, 2, 9]","[1, 8]","[0.01970494 0.01948931 0.01944306 0.01943845 0.02147458 0.02027129
 0.02074851 0.0198879  0.01980727 0.02029581]"
classif_features_10_samples_1000_seed_0,pps,0,4,"[4, 9, 0, 6, 8, 3, 7, 5, 2, 1]","[4, 9]","[0.12611226 0.12524057 0.11425171 0.11811671 0.1102571  0.11460393
 0.11019506 0.12545886 0.14120874 0.12393826]"
classif_features_10_samples_1000_seed_0,mutual_info,0,5,"[1, 9, 8, 2, 4, 3, 5, 0, 6, 7]","[1, 9]","[0.03752078 0.03410543 0.03431375 0.03438785 0.03274938 0.0334472
 0.03586245 0.03574891 0.03495859 0.03587977]"
classif_features_10_samples_1000_seed_0,f_test,0,5,"[1, 8, 3, 5, 2, 6, 0, 4, 7, 9]","[1, 8]","[0.00174886 0.00155844 0.00140609 0.00138726 0.00140885 0.00157996
 0.00159734 0.00142639 0.00144748 0.00154133]"
classif_features_10_samples_1000_seed_0,pearson,0,5,"[1, 8, 3, 5, 2, 6, 0, 4, 7, 9]","[1, 8]","[0.00297232 0.00232645 0.00162904 0.00178565 0.00153204 0.00149085
 0.00144389 0.0014234  0.00182338 0.00161744]"
classif_features_10_samples_1000_seed_0,spearman,0,5,"[1, 3, 8, 2, 5, 6, 0, 4, 7, 9]","[1, 3]","[0.00296082 0.00282866 0.00271673 0.00239603 0.00255372 0.00274466
 0.00248552 0.00235571 0.00264962 0.00251325]"
classif_features_10_samples_1000_seed_0,kendall,0,5,"[1, 3, 8, 2, 5, 6, 0, 4, 7, 9]","[1, 3]","[0.01984795 0.01954248 0.01974083 0.02595334 0.01990313 0.02107574
 0.02260109 0.0211093  0.01952456 0.02076816]"
